iter	Accuracy	Logloss
0	0.8209777778	0.6350655396
1	0.8213777778	0.5907090067
2	0.8216	0.5554485185
3	0.8211111111	0.5290475754
4	0.8208888889	0.5085300949
5	0.8217333333	0.491641223
6	0.8214666667	0.47910938
7	0.8216444444	0.4692284989
8	0.8228444444	0.4629137631
9	0.8227111111	0.4565138202
10	0.8224444444	0.4522558099
11	0.8223111111	0.4478727758
12	0.8230222222	0.4443901419
13	0.8235555556	0.4419617407
14	0.8237333333	0.4397586246
15	0.8238666667	0.4378792189
16	0.8237333333	0.4362154608
17	0.8233777778	0.4351007451
18	0.8235555556	0.4340186589
19	0.8231111111	0.4331683152
20	0.8233777778	0.4325106847
21	0.8232444444	0.4319138433
22	0.8236444444	0.4310022097
23	0.8238666667	0.4305810134
24	0.8239555556	0.429984721
25	0.8241777778	0.4293189722
26	0.8239555556	0.4288588765
27	0.824	0.4285202362
28	0.8241777778	0.4280926675
29	0.8240888889	0.4277459293
30	0.8239555556	0.4274161852
31	0.824	0.427203987
32	0.8239111111	0.4268333209
33	0.8238222222	0.4264901774
34	0.8240444444	0.4262813667
35	0.8242666667	0.4258533726
36	0.8242666667	0.4255051169
37	0.8243555556	0.4252775292
38	0.8243111111	0.4252206914
39	0.8244444444	0.4249457364
40	0.8244	0.4248670665
41	0.8243555556	0.4245117534
42	0.8245333333	0.424315056
43	0.8246666667	0.4241890039
44	0.8247111111	0.4239462727
45	0.8248	0.4235340975
46	0.8246222222	0.4233105934
47	0.8247111111	0.4230976441
48	0.8249777778	0.4228367359
49	0.8250666667	0.4223573538
50	0.8252444444	0.422184413
51	0.8254666667	0.4220035646
52	0.8256444444	0.4216684594
53	0.8256	0.4215850931
54	0.8258666667	0.4214124544
55	0.8258666667	0.4214119966
56	0.8261333333	0.4210863884
57	0.8263111111	0.4209419872
58	0.8263555556	0.4208828647
59	0.8264	0.4207257018
60	0.8264444444	0.4205189647
61	0.8264	0.420398289
62	0.8265777778	0.42017713
63	0.8266222222	0.4200092346
64	0.8266666667	0.4199694134
65	0.8264888889	0.4196740975
66	0.8267111111	0.4194339851
67	0.8267111111	0.4194135199
68	0.8267111111	0.4194059113
69	0.8268	0.4193721696
70	0.8267111111	0.4193130394
71	0.8265333333	0.419210518
72	0.8266666667	0.4191533596
73	0.8268888889	0.4189094806
74	0.8268888889	0.4187478747
75	0.8271555556	0.4186082495
76	0.8270666667	0.4186077372
77	0.8270222222	0.4185556765
78	0.8269333333	0.418419465
79	0.8269777778	0.4183099102
80	0.8272	0.4182125524
81	0.8272	0.4181311085
82	0.8270666667	0.4180026828
83	0.8272444444	0.4179516582
84	0.8271111111	0.4177346107
85	0.8272444444	0.4177262947
86	0.8272	0.4177062555
87	0.8269777778	0.4176045333
88	0.8268888889	0.4175072998
89	0.8270666667	0.417376496
90	0.8270666667	0.4173746687
91	0.8271555556	0.4173691036
92	0.8272888889	0.4172561756
93	0.8273777778	0.4172166914
94	0.8272444444	0.4170555945
95	0.8273333333	0.4170076201
96	0.8274666667	0.4167726284
