iter	Passed	Remaining
0	78	78353
1	139	69604
2	202	67291
3	269	67134
4	334	66624
5	395	65501
6	467	66302
7	545	67634
8	612	67400
9	680	67376
10	747	67166
11	805	66348
12	875	66447
13	953	67145
14	1014	66607
15	1094	67333
16	1159	67021
17	1216	66379
18	1288	66514
19	1327	65057
20	1390	64804
21	1474	65532
22	1549	65816
23	1608	65421
24	1644	64131
25	1717	64327
26	1777	64068
27	1835	63716
28	1898	63555
29	1971	63754
30	2041	63799
31	2103	63637
32	2162	63366
33	2234	63499
34	2308	63644
35	2405	64417
36	2486	64715
37	2571	65091
38	2648	65267
39	2729	65515
40	2789	65247
41	2824	64423
42	2900	64543
43	2956	64238
44	3013	63960
45	3049	63251
46	3120	63265
47	3181	63104
48	3241	62920
49	3299	62689
50	3369	62706
51	3427	62492
52	3485	62274
53	3556	62302
54	3590	61697
55	3653	61595
56	3726	61658
57	3784	61459
58	3815	60847
59	3872	60671
60	3933	60551
61	3998	60490
62	4056	60331
63	4116	60198
64	4181	60151
65	4239	59993
66	4296	59829
67	4367	59861
68	4424	59703
69	4480	59529
70	4537	59374
71	4608	59395
72	4665	59246
73	4722	59094
74	4777	58928
75	4798	58343
76	4864	58312
77	4924	58208
78	4981	58072
79	5047	58048
80	5106	57939
81	5168	57862
82	5226	57741
83	5293	57724
84	5349	57585
85	5413	57536
86	5477	57483
87	5553	57553
88	5618	57515
89	5664	57278
90	5748	57423
91	5807	57313
92	5870	57250
93	5928	57137
94	5980	56973
95	6027	56757
96	6086	56656
97	6145	56564
98	6189	56330
99	6253	56277
100	6321	56267
101	6388	56244
102	6466	56315
103	6533	56291
104	6606	56314
105	6671	56266
106	6699	55913
107	6739	55662
108	6806	55640
109	6885	55708
110	6924	55457
111	6986	55395
112	7054	55372
113	7115	55298
114	7183	55279
115	7253	55280
116	7318	55234
117	7381	55175
118	7434	55037
119	7492	54943
120	7551	54859
121	7626	54886
122	7696	54879
123	7766	54868
124	7847	54929
125	7919	54935
126	7984	54884
127	8039	54771
128	8101	54698
129	8157	54589
130	8214	54492
131	8277	54431
