iter	Accuracy	Logloss
0	0.7013333333	0.6872416893
1	0.7013333333	0.6783590181
2	0.7053333333	0.6695309566
3	0.6986666667	0.6653840399
4	0.7013333333	0.6577931817
5	0.7026666667	0.6532661635
6	0.7013333333	0.6474922736
7	0.7013333333	0.6444344958
8	0.7	0.6415733862
9	0.7013333333	0.6348385865
10	0.7	0.6323503888
11	0.7	0.6278165585
12	0.7	0.6224722832
13	0.7	0.6176089888
14	0.6986666667	0.6140184884
15	0.6986666667	0.6096587399
16	0.6986666667	0.6074040774
17	0.6986666667	0.6034714743
18	0.6986666667	0.5995156918
19	0.6986666667	0.5961011257
20	0.7	0.592827815
21	0.7	0.5914978577
22	0.7	0.5883597566
23	0.7	0.5838021259
24	0.6986666667	0.5813090719
25	0.6986666667	0.5788296416
26	0.7	0.5769245297
27	0.7	0.5732926802
28	0.7	0.5711605157
29	0.7	0.568291629
30	0.7	0.5658822837
31	0.7	0.5627295656
32	0.7013333333	0.5604960739
33	0.7013333333	0.5587417049
34	0.7013333333	0.5581116528
35	0.7013333333	0.5567143953
36	0.7013333333	0.5551899069
37	0.7013333333	0.5535501864
38	0.7013333333	0.5519758862
39	0.7013333333	0.5507361446
40	0.7013333333	0.5504662732
41	0.7026666667	0.5498134776
42	0.7026666667	0.5465869195
43	0.7026666667	0.5458565913
44	0.7053333333	0.5444214208
45	0.7053333333	0.5420390171
46	0.708	0.5402301318
47	0.708	0.538462775
48	0.708	0.5366121276
49	0.708	0.5362458955
50	0.708	0.5352176359
51	0.708	0.5344228923
52	0.7093333333	0.5334305945
53	0.708	0.5330586847
54	0.708	0.5328280936
55	0.7093333333	0.5311825726
56	0.7093333333	0.5301088131
57	0.7093333333	0.5287716386
58	0.7093333333	0.5270227945
59	0.7106666667	0.5245146972
60	0.7106666667	0.5239409442
61	0.712	0.5224509124
62	0.712	0.5222041482
63	0.7106666667	0.5220643912
64	0.7106666667	0.5213092407
65	0.7106666667	0.5212707067
66	0.7106666667	0.5212344645
67	0.7106666667	0.5205669705
68	0.7106666667	0.520235885
69	0.7106666667	0.5201321685
70	0.7106666667	0.5198002968
71	0.7106666667	0.5190498991
72	0.7106666667	0.5188438643
73	0.7106666667	0.5181797627
74	0.7106666667	0.5181594302
75	0.7173333333	0.5155566678
76	0.7186666667	0.5143188434
77	0.72	0.5129742984
78	0.7226666667	0.512380081
79	0.7226666667	0.5109572407
80	0.724	0.5099895657
81	0.7266666667	0.5077382047
82	0.7306666667	0.5054490692
83	0.732	0.5041534193
84	0.7346666667	0.5032540105
85	0.7333333333	0.5017969779
86	0.732	0.4998729915
87	0.7333333333	0.4994831316
88	0.732	0.4994793996
89	0.7333333333	0.4991668685
90	0.7333333333	0.4990266709
91	0.7333333333	0.498863123
92	0.732	0.4984015225
93	0.7333333333	0.4979693903
94	0.732	0.496187844
95	0.736	0.4959328639
96	0.7346666667	0.4954580233
97	0.7346666667	0.4950822849
98	0.7373333333	0.4939009788
99	0.736	0.4937976645
100	0.736	0.4937968985
101	0.7373333333	0.492874814
102	0.7373333333	0.4928741653
103	0.7373333333	0.4923861577
104	0.7373333333	0.4923856019
105	0.7386666667	0.4912934837
106	0.744	0.4908580723
107	0.7453333333	0.4905700556
108	0.7453333333	0.490186028
109	0.7466666667	0.4898301204
110	0.7573333333	0.4891715202
111	0.756	0.4881165457
112	0.7546666667	0.4881163994
113	0.7586666667	0.4878504446
114	0.7573333333	0.4878503224
115	0.7586666667	0.4875146115
116	0.7586666667	0.4875145238
117	0.7586666667	0.4868233026
118	0.7586666667	0.4864703832
119	0.7586666667	0.4864344659
120	0.7586666667	0.486390989
121	0.7586666667	0.4859056819
122	0.7573333333	0.48517357
123	0.7586666667	0.4850671579
124	0.7586666667	0.4845424001
125	0.7586666667	0.4845414099
126	0.76	0.4841159826
127	0.7586666667	0.4840849924
128	0.76	0.4839876196
129	0.7626666667	0.4819246439
130	0.764	0.4814853804
131	0.764	0.4813976542
132	0.764	0.4812613028
133	0.7653333333	0.4806081174
134	0.7653333333	0.4805740403
135	0.7653333333	0.4805582179
136	0.7653333333	0.4805581593
137	0.7653333333	0.4799477347
138	0.7653333333	0.4795212497
139	0.7666666667	0.4789198906
140	0.7653333333	0.4786204467
141	0.7653333333	0.4785714897
142	0.7653333333	0.4785116302
143	0.7653333333	0.4784804821
144	0.7626666667	0.4780183601
145	0.7626666667	0.4777262173
146	0.7626666667	0.477696636
147	0.7613333333	0.4770797962
148	0.7666666667	0.4762756314
149	0.7693333333	0.4760182718
150	0.7693333333	0.4749836436
151	0.768	0.4746358409
152	0.7693333333	0.4742559881
