iter	Passed	Remaining
0	206	310172
1	228	171129
2	294	146946
3	311	116569
4	347	103991
5	386	96281
6	422	90097
7	435	81241
8	444	73679
9	481	71801
10	490	66445
11	517	64214
12	538	61616
13	562	59738
14	584	57842
15	604	56083
16	626	54650
17	638	52601
18	655	51115
19	672	49775
20	707	49821
21	724	48643
22	740	47527
23	795	48922
24	882	52079
25	895	50744
26	931	50797
27	1019	53571
28	1038	52683
29	1062	52047
30	1087	51538
31	1166	53495
32	1202	53468
33	1234	53211
34	1250	52362
35	1285	52293
36	1300	51439
37	1323	50915
38	1349	50558
39	1362	49728
40	1370	48771
41	1386	48148
42	1480	50168
43	1508	49902
44	1557	50365
45	1617	51132
46	1707	52776
47	1744	52760
48	1836	54383
49	1848	53610
50	1869	53129
51	1887	52553
52	1904	51989
53	1930	51687
54	1951	51277
55	2032	52414
56	2068	52370
57	2106	52364
58	2183	53327
59	2271	54523
60	2285	53925
61	2365	54873
62	2382	54350
63	2409	54073
64	2436	53780
65	2444	53113
66	2455	52525
67	2483	52302
68	2511	52078
69	2524	51573
70	2541	51149
71	2566	50911
72	2587	50585
73	2608	50261
74	2616	49717
75	2701	50617
76	2723	50326
77	2798	51014
78	2815	50642
79	2890	51300
80	2921	51184
81	3001	51903
82	3080	52595
83	3118	52562
84	3145	52357
85	3229	53093
86	3320	53923
87	3337	53555
88	3346	53052
89	3366	52748
90	3382	52377
91	3408	52168
92	3435	51970
93	3469	51891
94	3554	52569
95	3567	52181
96	3617	52318
97	3633	51977
98	3650	51659
99	3667	51350
100	3675	50914
101	3753	51438
102	3763	51048
103	3838	51518
104	3846	51102
105	3893	51204
106	3922	51066
107	3969	51167
108	3993	50961
109	4017	50761
110	4050	50682
111	4128	51169
112	4137	50785
113	4158	50563
114	4168	50201
115	4187	49956
116	4195	49590
117	4233	49582
118	4255	49380
119	4268	49083
120	4280	48787
121	4321	48816
122	4386	49109
123	4408	48922
124	4434	48784
125	4447	48503
126	4501	48669
127	4518	48437
128	4540	48259
129	4618	48672
130	4656	48660
131	4668	48381
132	4680	48103
133	4702	47933
134	4716	47685
135	4731	47454
136	4739	47155
137	4775	47133
138	4803	47030
139	4843	47046
140	4870	46943
141	4886	46729
142	4908	46581
143	4923	46358
144	4953	46293
145	4972	46118
146	4988	45910
147	5063	46258
148	5146	46664
149	5225	47027
150	5254	46945
151	5283	46858
152	5305	46707
153	5327	46567
154	5339	46336
155	5356	46146
156	5442	46554
157	5475	46504
158	5562	46914
159	5590	46820
160	5611	46669
161	5651	46678
162	5689	46664
163	5707	46491
164	5790	46851
165	5802	46633
166	5823	46486
167	5845	46345
168	5871	46242
169	5957	46604
170	5982	46496
171	6072	46888
172	6085	46682
173	6165	46985
174	6237	47227
175	6259	47088
176	6344	47421
177	6423	47710
178	6446	47572
179	6490	47600
180	6527	47571
181	6549	47428
182	6571	47295
183	6599	47201
184	6635	47165
185	6665	47088
186	6704	47073
187	6725	46933
188	6753	46843
189	6789	46813
190	6805	46640
191	6823	46487
192	6843	46341
193	6874	46275
194	6906	46219
195	6932	46123
196	6992	46248
197	7018	46152
198	7047	46076
199	7089	46081
200	7137	46127
201	7240	46527
202	7343	46917
203	7357	46742
204	7387	46669
